,id,image_name,file_name,status,url,Unnamed: 0
70,82,v=12033488525615444041676541561,82.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,70.0
71,83,v=12033488525615444041676541561,83.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,71.0
72,84,v=12033488525615444041676541561,84.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,72.0
73,85,v=12033488525615444041676541561,85.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,73.0
74,86,v=12033488525615444041676541561,86.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,74.0
75,87,v=12033488525615444041676541561,87.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,75.0
76,88,v=12033488525615444041676541561,88.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/soldout.png?v=12033488525615444041676541561,76.0
77,89,v=1630578287,89.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/LOGO_CHECKOUT_PAGE_Tm_2_84ee77ae-be63-4da7-a4e8-d72193937712_480x480.png?v=1630578287,77.0
78,90,v=1634121658,90.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/Untitled-2_d624f5c4-de1a-4bf8-b8b8-c146acd12c09_600x600.png?v=1634121658,78.0
79,91,v=1634122121,91.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/1_0a6a3d47-d03b-42f1-b6c5-64454449cb3e_600x600.png?v=1634122121,79.0
80,92,v=1634122158,92.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/2_0d809158-f5e9-4436-a794-97577c62bfd9_600x600.png?v=1634122158,80.0
81,93,v=1634122189,93.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/3_600x600.png?v=1634122189,81.0
82,94,v=1634122214,94.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/4_600x600.png?v=1634122214,82.0
83,95,v=1634122285,95.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/5_600x600.png?v=1634122285,83.0
84,96,v=1673524580,96.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/tank_size_ac987a1a-205c-4cb2-a137-23d33021b280_2048x2048.png?v=1673524580,84.0
